model,prompt_id,prompt_name,label,precision,recall,f1,tp,fp,fn,tn,support,macro_f1,micro_f1,texts_evaluated
casperhansen/llama-3.3-70b-instruct-awq,1,0-shot_binary,Individualism,0.2211,0.4392,0.2941,1830,6447,2337,46182,4167,0.2941,0.3331,56796
casperhansen/llama-3.3-70b-instruct-awq,1,0-shot_binary,Collectivism,0.2397,0.1319,0.1702,251,796,1652,54097,1903,0.2941,0.3331,56796
casperhansen/llama-3.3-70b-instruct-awq,1,0-shot_binary,Honor,0.0695,0.2883,0.112,145,1942,358,54351,503,0.2941,0.3331,56796
casperhansen/llama-3.3-70b-instruct-awq,1,0-shot_binary,Tightness,0.1468,0.2448,0.1836,237,1377,731,54451,968,0.2941,0.3331,56796
casperhansen/llama-3.3-70b-instruct-awq,1,0-shot_binary,Looseness,0.0491,0.1983,0.0787,95,1839,384,54478,479,0.2941,0.3331,56796
casperhansen/llama-3.3-70b-instruct-awq,1,0-shot_binary,Care,0.3837,0.6037,0.4692,2644,4246,1736,48170,4380,0.2941,0.3331,56796
casperhansen/llama-3.3-70b-instruct-awq,1,0-shot_binary,Equality,0.323,0.5856,0.4164,1043,2186,738,52829,1781,0.2941,0.3331,56796
casperhansen/llama-3.3-70b-instruct-awq,1,0-shot_binary,Proportionality,0.2442,0.1113,0.1529,244,755,1949,53848,2193,0.2941,0.3331,56796
casperhansen/llama-3.3-70b-instruct-awq,1,0-shot_binary,Loyalty,0.0828,0.4507,0.1399,416,4607,507,51266,923,0.2941,0.3331,56796
casperhansen/llama-3.3-70b-instruct-awq,1,0-shot_binary,Authority,0.3998,0.1967,0.2636,1731,2599,7071,45395,8802,0.2941,0.3331,56796
casperhansen/llama-3.3-70b-instruct-awq,1,0-shot_binary,Purity,0.0583,0.2401,0.0938,73,1179,231,55313,304,0.2941,0.3331,56796
casperhansen/llama-3.3-70b-instruct-awq,1,0-shot_binary,Ownership,0.2764,0.4098,0.3301,915,2396,1318,52167,2233,0.2941,0.3331,56796
casperhansen/llama-3.3-70b-instruct-awq,1,0-shot_binary,Liberty,0.2306,0.4585,0.3069,696,2322,822,52956,1518,0.2941,0.3331,56796
casperhansen/llama-3.3-70b-instruct-awq,1,0-shot_binary,Honesty,0.0946,0.7754,0.1687,2783,26630,806,26577,3589,0.2941,0.3331,56796
casperhansen/llama-3.3-70b-instruct-awq,1,0-shot_binary,ThinMorality,0.1123,0.2518,0.1554,717,5665,2131,48283,2848,0.2941,0.3331,56796
casperhansen/llama-3.3-70b-instruct-awq,1,0-shot_binary,OffensiveUncivilLanguage,0.473,0.84,0.6052,6001,6685,1143,42967,7144,0.2941,0.3331,56796
casperhansen/llama-3.3-70b-instruct-awq,1,0-shot_binary,Hate,0.2964,0.5658,0.389,1070,2540,821,52365,1891,0.2941,0.3331,56796
casperhansen/llama-3.3-70b-instruct-awq,1,0-shot_binary,Fear,0.1332,0.2097,0.1629,112,729,422,55533,534,0.2941,0.3331,56796
casperhansen/llama-3.3-70b-instruct-awq,1,0-shot_binary,Threat,0.2789,0.7969,0.4132,2711,7008,691,46386,3402,0.2941,0.3331,56796
casperhansen/llama-3.3-70b-instruct-awq,1,0-shot_binary,CreativityInnovation,0.49,0.2532,0.3339,2297,2391,6774,45334,9071,0.2941,0.3331,56796
casperhansen/llama-3.3-70b-instruct-awq,1,0-shot_binary,Kinship,0.7743,0.5811,0.6639,2432,709,1753,51902,4185,0.2941,0.3331,56796
casperhansen/llama-3.3-70b-instruct-awq,1,0-shot_binary,Religion,0.5931,0.9159,0.72,1950,1338,179,53329,2129,0.2941,0.3331,56796
casperhansen/llama-3.3-70b-instruct-awq,1,0-shot_binary,IntellectualHumility,0.2985,0.246,0.2698,1058,2486,3242,50010,4300,0.2941,0.3331,56796
casperhansen/llama-3.3-70b-instruct-awq,1,0-shot_binary,AnalyticalThinking,0.3038,0.518,0.383,2751,6303,2560,45182,5311,0.2941,0.3331,56796
casperhansen/llama-3.3-70b-instruct-awq,1,0-shot_binary,GeneralizedTrust,0.0709,0.0795,0.0749,70,918,811,54997,881,0.2941,0.3331,56796
casperhansen/llama-3.3-70b-instruct-awq,2,0-shot_binary_incentive,Individualism,0.1997,0.4944,0.2845,2060,8253,2107,44376,4167,0.2877,0.3109,56796
casperhansen/llama-3.3-70b-instruct-awq,2,0-shot_binary_incentive,Collectivism,0.209,0.1802,0.1936,343,1298,1560,53595,1903,0.2877,0.3109,56796
casperhansen/llama-3.3-70b-instruct-awq,2,0-shot_binary_incentive,Honor,0.0448,0.3837,0.0802,193,4118,310,52175,503,0.2877,0.3109,56796
casperhansen/llama-3.3-70b-instruct-awq,2,0-shot_binary_incentive,Tightness,0.1166,0.3616,0.1763,350,2652,618,53176,968,0.2877,0.3109,56796
casperhansen/llama-3.3-70b-instruct-awq,2,0-shot_binary_incentive,Looseness,0.042,0.2401,0.0714,115,2626,364,53691,479,0.2877,0.3109,56796
casperhansen/llama-3.3-70b-instruct-awq,2,0-shot_binary_incentive,Care,0.3079,0.674,0.4227,2952,6634,1428,45782,4380,0.2877,0.3109,56796
casperhansen/llama-3.3-70b-instruct-awq,2,0-shot_binary_incentive,Equality,0.232,0.7165,0.3505,1276,4224,505,50791,1781,0.2877,0.3109,56796
casperhansen/llama-3.3-70b-instruct-awq,2,0-shot_binary_incentive,Proportionality,0.2095,0.1674,0.1861,367,1385,1826,53218,2193,0.2877,0.3109,56796
casperhansen/llama-3.3-70b-instruct-awq,2,0-shot_binary_incentive,Loyalty,0.068,0.5363,0.1206,495,6788,428,49085,923,0.2877,0.3109,56796
casperhansen/llama-3.3-70b-instruct-awq,2,0-shot_binary_incentive,Authority,0.3743,0.3091,0.3386,2721,4549,6081,43445,8802,0.2877,0.3109,56796
casperhansen/llama-3.3-70b-instruct-awq,2,0-shot_binary_incentive,Purity,0.0398,0.3257,0.071,99,2387,205,54105,304,0.2877,0.3109,56796
casperhansen/llama-3.3-70b-instruct-awq,2,0-shot_binary_incentive,Ownership,0.2459,0.4604,0.3206,1028,3152,1205,51411,2233,0.2877,0.3109,56796
casperhansen/llama-3.3-70b-instruct-awq,2,0-shot_binary_incentive,Liberty,0.1723,0.5692,0.2645,864,4151,654,51127,1518,0.2877,0.3109,56796
casperhansen/llama-3.3-70b-instruct-awq,2,0-shot_binary_incentive,Honesty,0.0824,0.8406,0.1501,3017,33581,572,19626,3589,0.2877,0.3109,56796
casperhansen/llama-3.3-70b-instruct-awq,2,0-shot_binary_incentive,ThinMorality,0.0862,0.3522,0.1385,1003,10630,1845,43318,2848,0.2877,0.3109,56796
casperhansen/llama-3.3-70b-instruct-awq,2,0-shot_binary_incentive,OffensiveUncivilLanguage,0.4703,0.8357,0.6019,5970,6724,1174,42928,7144,0.2877,0.3109,56796
casperhansen/llama-3.3-70b-instruct-awq,2,0-shot_binary_incentive,Hate,0.2931,0.5801,0.3894,1097,2646,794,52259,1891,0.2877,0.3109,56796
casperhansen/llama-3.3-70b-instruct-awq,2,0-shot_binary_incentive,Fear,0.1254,0.2434,0.1655,130,907,404,55355,534,0.2877,0.3109,56796
casperhansen/llama-3.3-70b-instruct-awq,2,0-shot_binary_incentive,Threat,0.2535,0.8313,0.3885,2828,8329,574,45065,3402,0.2877,0.3109,56796
casperhansen/llama-3.3-70b-instruct-awq,2,0-shot_binary_incentive,CreativityInnovation,0.4452,0.3234,0.3747,2934,3657,6137,44068,9071,0.2877,0.3109,56796
casperhansen/llama-3.3-70b-instruct-awq,2,0-shot_binary_incentive,Kinship,0.7732,0.5857,0.6665,2451,719,1734,51892,4185,0.2877,0.3109,56796
