text_id,prompt_id,prompt_name,model,provider,temperature,run_number,Individualism,Collectivism,Honor,Tightness,Looseness,Care,Equality,Proportionality,Loyalty,Authority,Purity,Ownership,Liberty,Honesty,ThinMorality,OffensiveUncivilLanguage,Hate,Fear,Threat,CreativityInnovation,Kinship,Religion,IntellectualHumility,AnalyticalThinking,GeneralizedTrust,response__Individualism,response__Collectivism,response__Honor,response__Tightness,response__Looseness,response__Care,response__Equality,response__Proportionality,response__Loyalty,response__Authority,response__Purity,response__Ownership,response__Liberty,response__Honesty,response__ThinMorality,response__OffensiveUncivilLanguage,response__Hate,response__Fear,response__Threat,response__CreativityInnovation,response__Kinship,response__Religion,response__IntellectualHumility,response__AnalyticalThinking,response__GeneralizedTrust
1,1,0-shot_binary,llama3:8b,local_ollama,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.
5,1,0-shot_binary,llama3:8b,local_ollama,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.
10808,1,0-shot_binary,llama3:8b,local_ollama,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.
54325,1,0-shot_binary,llama3:8b,local_ollama,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.
47580,1,0-shot_binary,llama3:8b,local_ollama,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.
22970,1,0-shot_binary,llama3:8b,local_ollama,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.
23566,1,0-shot_binary,llama3:8b,local_ollama,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.
53902,1,0-shot_binary,llama3:8b,local_ollama,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.
102,1,0-shot_binary,llama3:8b,local_ollama,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.
1,4,multi-shot_binary_reasoning,llama3:8b,local_ollama,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.,ERROR: Connection error.
